Assignment,Organization Name
000075,Nortel Networks
00007D,Sun Microsystems
000081,Bay Networks
0000A2,Bay Networks
00015D,Sun Microsystems
00022D,Lucent Technologies
00025F,Nortel Networks
0002A5,Compaq Computer Corporation
00034B,Nortel Networks
0003BA,Sun Microsystems
000586,Lucent Technologies
000782,Sun Microsystems
000802,Compaq Computer Corporation
0008C7,Compaq Computer Corporation
000AD9,Sony Ericsson
000E07,Sony Ericsson
000FDE,Sony Ericsson
00104F,Sun Microsystems
0010E0,Sun Microsystems
0010E3,Compaq Computer Corporation
0012EE,Sony Ericsson
00144F,Sun Microsystems
001620,Sony Ericsson
0016B8,Sony Ericsson
001813,Sony Ericsson
001963,Sony Ericsson
001A75,Sony Ericsson
001B59,Sony Ericsson
001CA4,Sony Ericsson
001D28,Sony Ericsson
001E45,Sony Ericsson
001EDC,Sony Ericsson
001FE4,Sony Ericsson
0020F2,Sun Microsystems
002128,Sun Microsystems
00306D,Lucent Technologies
00508B,Compaq Computer Corporation
00601D,Lucent Technologies
0060D2,Lucent Technologies
00805F,Compaq Computer Corporation
00D077,Lucent Technologies
00E07B,Bay Networks
080020,Sun Microsystems
